seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ576323.Unc29607	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||U41355.DysCapno	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AJ576360.Unc29617	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB531490.BcrChinc	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB200217.BcrPlebe	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB200229.BcrPyoge	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB200224.BcrCopr2	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB242142.BcrDore2	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AJ867050.BcrVulg2	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB298727.BcrPauro	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB253726.BcrBarne	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB064919.BcrCopro	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB253731.BcrSalan	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB490803.BcrOleic	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB574481.BcrSter3	Bacteroidaceae	Bacteroides
